,CO2_M,Temp_M,VPD_M,Prcp_M,WaterS_M,WaterG_M,RuralE_M,AgriM_M,Fert_M,CropG_M,FruitG_M,IncomeR_M,CO2_S,Temp_S,VPD_S,Prcp_S,WaterS_S,WaterG_S,RuralE_S,AgriM_S,Fert_S,CropG_S,FruitG_S,IncomeR_S,CO2_S_per,Temp_S_per,VPD_S_per,Prcp_S_per,WaterS_S_per,WaterG_S_per,RuralE_S_per,AgriM_S_per,Fert_S_per,CropG_S_per,FruitG_S_per,IncomeR_S_per
632121,371.52585365853656,277.1636116150001,46.90605655274999,0.5489457792750001,378298.53992277785,-1.038461317,729.0602564102568,5.412828205128205,1915.5833333333333,33084.02564102564,122.6,1708.9605714285713,1.8178449477351915,0.04045676414634166,-0.0021772261285178643,0.00022207783893058198,11876.883239250965,-0.16915060231071427,34.54967408906883,0.13439744939271261,60.945302445302445,466.6910931174089,-2.3361538461538465,170.33256582633052,1.8481067949876058,0.4425602416038697,-0.19915789283191998,0.8796935525670794,1.7505674745951512,0.6996014823054176,1.917156829746647,1.8987897268961087,1.7553263718022882,1.8701794002867045,1.246416177280853,1.723235170920018
632221,371.52585365853656,269.9903044325,25.14091890485,5.929681695475,9892404.570694445,-1.0185309437333332,561.2792307692305,13.597058974358974,4167.027777777777,36692.820512820515,32.0,2958.6685,1.8178449477351915,0.043968439446528625,0.019373657092870523,-0.007644407991275802,774795.487030502,-0.2353249817571428,13.192473684210528,0.9360160526315789,136.29356499356498,377.9485829959515,,360.29078947368424,1.8481067949876058,0.48135978616420283,1.1966178943612085,3.2888878217991935,1.7674377509551764,0.7002352129392595,1.896637818574057,1.9235378291455818,1.756081385071542,1.8463773614247185,,0.9529962724721518
632126,371.52585365853656,274.89171648750005,35.08950547675,2.9429328315,3446770.0815916667,-1.1435001331333332,1519.642564102564,23.86800769230769,9235.111111111111,144278.30256410255,887.695652173913,1818.6282352941178,1.8178449477351915,0.03764659415572241,0.010755573256097559,-0.0026322353917448416,20361.24977357787,-0.2145037137714285,43.27336032388664,1.358383117408907,68.8859716859717,-967.8291497975711,-33.98221343873517,178.38673185637887,1.8481067949876058,0.42101166244391364,0.7465617025345028,4.623787231115561,1.6379779736360374,0.6998842004306496,1.9036957620365296,1.9205781348557625,1.6693983256873897,2.0972160580097876,1.126542675401423,1.6711442675860047
632322,371.52585365853656,275.44607368000004,41.39501849199999,1.3866522085000001,16955555.555555556,-0.8000874321333333,474.83230769230767,3.4915410256410255,379.5,15099.410256410256,967.9285714285714,1903.4075,1.8178449477351915,0.035448931238274126,-0.009467317510319002,0.00045596515909943856,287799.2277992278,-0.0659220698,21.119402834008103,0.22161342105263163,3.050707850707851,94.14696356275303,-5.487912087912089,225.16184210526316,1.8481067949876058,0.40075126541990824,-1.6176446957093817,0.7795889499542348,1.727188564971716,0.6975109782543338,1.915821596127934,1.922342330149616,1.6771308779253684,1.7912857254482502,0.7150222066368004,0.9528807929049828
632323,371.52585365853656,271.73693108749995,31.238385673499998,7.12592849775,294940.81947111106,-0.6347027006000001,8.558333333333332,0.8756102564102562,138.92307692307693,201.0,45.0,1714.078,1.8178449477351915,0.03206668588180115,0.02884810025515947,0.008291710431332077,7191.73360291377,-0.009342051053571434,1.6025217391304347,0.04123643724696356,-3.818681318681319,188.0,,189.81774436090228,1.8481067949876058,0.37372002357385115,1.2810584251448491,1.3825355638971135,1.7425843556240195,0.678642969470093,1.1611232465155672,1.917029068048618,0.6123635765557364,0.1988991776894369,,0.9526053158977614
630122,371.52585365853656,275.41130171,38.89713702375001,2.629179093225,1412907.8619527782,-0.8295301407333333,2790.746153846154,42.1010282051282,9192.138888888889,167210.92307692306,1011.5,1907.716285714286,1.8178449477351915,0.03128945999999984,-0.013869324655722357,-0.0009561284787054431,20836.017034710418,-0.10577792515714285,150.62042510121455,1.9246343319838057,245.62175032175037,1377.7917004048581,-46.922051282051285,191.7499579831933,1.8481067949876058,0.36233408480800816,-4.62609077730286,-4.947243466942252,1.7196390485107107,0.6990066466236732,1.9196492047893796,1.916409428895253,1.750066536355081,1.8248512212321306,1.2781558749490882,1.723308629044548
632723,371.52585365853656,265.19759417,27.0799778845,3.8304626239250004,7490222.138844722,0.7538170558666667,236.74871794871797,1.4062794871794873,7436.733333333334,4240.897435897436,14.0,1764.8665,1.8178449477351915,0.019450981350844204,0.011576410377110697,0.0074196332241088184,345518.63426998584,0.3648451857714285,11.972631578947361,0.06392489878542511,2130.3178571428566,-51.23157894736841,,195.96522556390977,1.8481067949876058,0.2500697336326679,0.9068211297464328,1.574002087035842,1.7595205897517814,0.7010283635495562,1.9184418289895933,1.9162894841281248,0.7008792870031072,2.023191063895162,,0.9526168294895533
632624,371.52585365853656,267.4329087025001,27.31085818425,11.739073827524999,10798207.748541668,-0.15101123933333332,,0.15389999999999998,,,13.0,1543.2295,1.8178449477351915,0.022567026688555272,0.08698899679080675,0.0021853618276735497,226703.23475965252,0.04294273513571429,,0.006109372469635627,,,,140.16499999999996,1.8481067949876058,0.2823610255445268,1.7139409540942787,0.5318289897684892,1.7368593843751567,0.7029935477408387,,1.913209946264645,,,,0.9516606041312011
632128,371.52585365853656,275.38012048749994,41.47399551225,1.861132822525,9899496.36197222,-1.1216826558000002,730.4820512820513,6.618953846153848,1668.638888888889,30171.25641025641,1681.0,1536.6402857142857,1.8178449477351915,0.040519526219512755,0.024637081237335885,0.0007428434803939966,352203.93366293435,-0.15348758026428574,17.91043522267207,0.16663902834008099,78.6868725868726,349.9755060728745,-114.39692307692309,148.8725182072829,1.8481067949876058,0.445320750021414,1.0699890015268532,0.873085360065258,1.7538520861325142,0.6991931415482014,1.8983054999805586,1.8993159519636988,1.764374300598681,1.8561851006627208,1.2224281653095777,1.7229829966167964
632522,371.52585365853656,273.2021118949999,39.95701961699999,4.334000662875,8922862.285083331,-0.2980384116,266.4992307692308,3.4604923076923066,1338.0,13005.97435897436,20.928571428571427,2941.564,1.8178449477351915,0.03431180996247668,0.02905950174859291,0.009202290934052532,-38890.46891956242,0.0855976747,10.008914979757083,0.07183643724696356,56.01758241758241,73.52267206477734,0.34945054945054943,320.07714285714286,1.8481067949876058,0.39299324851973655,1.1688870869633534,1.6033087357449207,2.013734484298709,0.7029812915413511,1.9118283040258521,1.891326541654988,0.6440791868441922,1.7774472634844496,0.6327912615414681,0.9525288822591522
